"row_name","rho_azi_vec","mean_azi_vec","sd_real_azi_vec","sd_azi_vec","ray_azi_vec","sample_azi_vec"
"sample_1",0.76,-17.24,42.78,39.97,0,11
"sample_2",0.86,-11.91,31.83,30.64,0,11
"sample_3",0.69,17.86,49.8,45.45,0.01,10
